"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 20, 2021","443.36","440.23","443.71","439.71","72.01M","0.80%"
"Aug 19, 2021","439.86","436.19","441.12","436.17","92.81M","0.15%"
"Aug 18, 2021","439.18","442.86","444.61","438.96","89.35M","-1.09%"
"Aug 17, 2021","444.04","444.18","444.96","440.89","92.67M","-0.66%"
"Aug 16, 2021","446.97","444.68","447.08","442.92","73.93M","0.24%"
"Aug 13, 2021","445.92","445.59","445.94","445.07","39.47M","0.18%"
"Aug 12, 2021","445.11","443.54","445.25","442.67","38.94M","0.30%"
"Aug 11, 2021","443.78","443.76","443.88","442.63","44.03M","0.25%"
"Aug 10, 2021","442.68","442.64","443.43","441.91","43.34M","0.12%"
"Aug 09, 2021","442.13","442.49","442.79","441.37","41.22M","-0.08%"
"Aug 08, 2021","442.49","442.49","442.49","442.49","-","0.00%"
"Aug 07, 2021","442.49","442.49","442.49","442.49","-","0.00%"
"Aug 06, 2021","442.49","442.19","442.91","441.81","46.93M","0.17%"
"Aug 05, 2021","441.76","440.26","441.79","439.91","38.97M","0.63%"
"Aug 04, 2021","438.98","439.78","440.39","438.74","46.73M","-0.49%"
"Aug 03, 2021","441.15","438.53","441.17","436.12","58.05M","0.81%"
"Aug 02, 2021","437.59","440.30","440.85","437.31","58.78M","-0.21%"
"Jul 30, 2021","438.51","437.97","440.05","437.79","68.95M","-0.49%"
"Jul 29, 2021","440.65","439.90","441.79","439.90","47.44M","0.41%"
"Jul 28, 2021","438.83","439.65","440.27","437.42","52.47M","-0.04%"
"Jul 27, 2021","439.01","439.92","439.92","435.99","67.40M","-0.46%"
"Jul 26, 2021","441.02","439.32","441.02","439.26","43.72M","0.25%"
"Jul 23, 2021","439.94","437.52","440.30","436.79","63.77M","1.03%"
"Jul 22, 2021","435.46","434.74","435.72","433.69","47.88M","0.21%"
"Jul 21, 2021","434.55","432.34","434.70","431.01","64.72M","0.81%"
"Jul 20, 2021","431.06","425.68","432.42","424.83","99.61M","1.43%"
"Jul 19, 2021","424.97","426.19","431.41","421.97","147.99M","-1.48%"
"Jul 16, 2021","431.34","436.01","436.05","430.93","75.87M","-0.78%"
"Jul 15, 2021","434.75","434.92","435.52","432.75","55.13M","-0.34%"
"Jul 14, 2021","436.24","437.45","437.90","434.92","64.13M","0.15%"
"Jul 13, 2021","435.59","436.28","437.83","435.32","52.91M","-0.34%"
"Jul 12, 2021","437.08","435.48","437.25","434.98","52.89M","0.36%"
"Jul 09, 2021","435.52","432.59","435.77","432.33","76.24M","1.07%"
"Jul 08, 2021","430.92","428.75","431.72","427.58","97.60M","-0.81%"
"Jul 07, 2021","434.46","433.68","434.75","431.52","63.55M","0.35%"
"Jul 06, 2021","432.93","433.72","433.95","430.01","68.71M","-0.18%"
"Jul 05, 2021","433.72","433.72","433.72","433.72","-","0.00%"
"Jul 04, 2021","433.72","433.72","433.72","433.72","-","0.00%"
"Jul 03, 2021","433.72","433.72","433.72","433.72","-","0.00%"
"Jul 02, 2021","433.72","431.67","434.10","430.52","57.70M","0.76%"
"Jul 01, 2021","430.43","428.93","430.53","428.82","53.44M","0.55%"
"Jun 30, 2021","428.06","427.33","428.70","427.28","64.83M","0.08%"
"Jun 29, 2021","427.70","427.88","428.56","427.13","35.97M","0.05%"
"Jun 28, 2021","427.47","427.21","427.64","425.89","53.16M","0.20%"
"Jun 25, 2021","426.61","426.05","427.07","425.57","58.13M","0.36%"
"Jun 24, 2021","425.10","424.94","425.55","424.63","45.11M","0.59%"
"Jun 23, 2021","422.60","423.27","424.03","422.56","49.45M","-0.12%"
"Jun 22, 2021","423.11","420.90","423.98","420.10","57.70M","0.53%"
"Jun 21, 2021","420.86","416.80","421.06","415.93","72.82M","1.43%"
"Jun 18, 2021","414.92","417.17","417.81","414.76","118.68M","-1.67%"
"Jun 17, 2021","421.97","421.73","422.99","419.35","90.95M","-0.03%"
"Jun 16, 2021","422.11","424.72","424.83","419.97","80.39M","-0.56%"
"Jun 15, 2021","424.48","425.42","425.44","423.55","51.51M","-0.18%"
"Jun 14, 2021","425.26","424.43","425.37","423.10","42.36M","0.22%"
"Jun 11, 2021","424.31","424.20","424.43","422.82","45.57M","0.17%"
"Jun 10, 2021","423.61","422.96","424.63","421.55","51.02M","0.46%"
"Jun 09, 2021","421.65","423.18","423.26","421.41","48.44M","-0.15%"
"Jun 08, 2021","422.28","423.11","423.21","420.32","47.13M","0.02%"
"Jun 07, 2021","422.19","422.59","422.78","421.19","51.56M","-0.10%"
"Jun 04, 2021","422.60","420.75","422.92","418.84","55.94M","0.91%"
"Jun 03, 2021","418.77","417.85","419.99","416.28","58.14M","-0.37%"
"Jun 02, 2021","420.33","420.37","421.23","419.29","49.10M","0.16%"
"Jun 01, 2021","419.67","422.57","422.72","419.20","54.22M","-0.09%"
"May 28, 2021","420.04","420.97","421.25","419.79","58.52M","0.18%"
"May 27, 2021","419.29","420.17","420.72","418.99","56.71M","0.05%"
"May 26, 2021","419.07","418.87","419.61","417.76","43.09M","0.20%"
"May 25, 2021","418.24","420.33","420.71","417.62","57.45M","-0.22%"
"May 24, 2021","419.17","417.34","420.32","417.08","51.38M","1.02%"
"May 21, 2021","414.94","416.87","418.20","414.45","76.58M","-0.08%"
"May 20, 2021","415.28","411.80","416.62","411.67","78.02M","1.08%"
"May 19, 2021","410.86","406.92","411.05","405.33","106.47M","-0.26%"
"May 18, 2021","411.94","415.80","416.06","411.77","59.81M","-0.86%"
"May 17, 2021","415.52","415.39","416.39","413.36","65.13M","-0.25%"
"May 14, 2021","416.58","413.21","417.49","413.18","82.20M","1.54%"
"May 13, 2021","410.28","407.07","412.35","407.02","106.39M","1.20%"
"May 12, 2021","405.41","411.23","412.59","404.00","134.81M","-2.12%"
"May 11, 2021","414.21","413.10","415.27","410.06","116.89M","-0.89%"
"May 10, 2021","417.94","422.50","422.74","417.81","81.85M","-0.99%"
"May 07, 2021","422.12","419.89","422.81","419.16","67.73M","0.73%"
"May 06, 2021","419.07","415.83","419.21","413.68","74.32M","0.80%"
"May 05, 2021","415.75","417.38","417.63","414.94","60.28M","0.03%"
"May 04, 2021","415.62","416.07","416.60","411.67","101.59M","-0.62%"
"May 03, 2021","418.20","419.43","419.84","417.67","68.13M","0.22%"
"Apr 30, 2021","417.30","417.63","418.54","416.34","85.53M","-0.66%"
"Apr 29, 2021","420.06","420.32","420.72","416.44","78.54M","0.64%"
"Apr 28, 2021","417.40","417.81","419.01","416.90","51.24M","-0.03%"
"Apr 27, 2021","417.52","417.93","418.14","416.30","51.30M","-0.02%"
"Apr 26, 2021","417.61","417.44","418.22","416.81","52.18M","0.21%"
"Apr 23, 2021","416.74","412.87","418.25","412.79","73.28M","1.08%"
"Apr 22, 2021","412.27","415.89","416.78","411.13","97.58M","-0.91%"
"Apr 21, 2021","416.07","411.51","416.29","411.36","66.79M","0.95%"
"Apr 20, 2021","412.17","413.91","415.09","410.59","81.85M","-0.73%"
"Apr 19, 2021","415.21","416.26","416.74","413.79","78.50M","-0.49%"
"Apr 16, 2021","417.26","417.25","417.91","415.73","82.04M","0.33%"
"Apr 15, 2021","415.87","413.74","416.16","413.69","60.23M","1.07%"
"Apr 14, 2021","411.45","412.83","413.96","410.87","61.66M","-0.34%"
"Apr 13, 2021","412.86","411.53","413.53","411.12","56.55M","0.30%"
"Apr 12, 2021","411.64","410.85","411.93","410.20","56.70M","0.04%"
"Apr 09, 2021","411.49","408.39","411.67","408.26","61.10M","0.73%"
"Apr 08, 2021","408.52","407.93","408.58","406.93","57.86M","0.47%"
